ID,id_article,id_experiment,publication_year,Authors,language,document_type,doi,Book_DOI,Commentaires,experiment_type,control_Land_Use,control_type,control_Comment,control_species,control_NB_species,control_N_Woody,control_N_herb,control_N2_fixing,treatment_Land_Use,NEW_treatment_type,main_culture,Notes,treatment_species,treatment_NB_species,treatment_N_Woody,treatment_N_herb,treatment_N2_fixing,density,Organic_management,info,Confunding_factors,country,latitude,longitude,Y_(WGS84),X_(WGS84),altitude,precipitation,temperature,climate,soil_type,soil_depth_start,soil_depth_end,Thickness,Bulk_density_C,Coarse_fragment_C,Bulk_density_T,Coarse_fragment_T,Design,time_since_conversion,history,history_C,history_T,control_replicate_nb,treatment_replicate_nb,Table/Fig,Transformation,soc_unit_control,...60,control_soc_mean,control_soc_sd,control_soc_sd_F,control_soc_mean_T_ha,control_soc_sd_T_ha,treatment_soc_mean,treatment_soc_sd,treatment_soc_sd_F,treatment_soc_mean_T_ha,treatment_soc_sd_T_ha,delta_stock_C.yr,delta_stock_T.yr,Keep_ratio,Ratio,Ratio_vi,Keep_rate,Crate,Crate_vi,...79,delta_stock_T,Temperature_Wordclim,Precipitation_Wordclim,ETP_Wordclim,FAO_Climate,MEAN_depth,depth_diff,Depthfrom_zero,MEAN_depthD,lon,lat,time_since_conversion_imputed,main_culture2,NEW_treatment_type2,diff_species,diff_species_class,Grouped_Design,History_reclass,depth_group,treatment_soc_sd_T_ha_imputed,control_soc_sd_T_ha_imputed,yi,vi
805,121,804,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata",3,1,2,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"4,56",NA,NA,88.28,9.871864809772038,"4,48",NA,NA,86.73,11.029424855106406,4.7432,"3,4848",YES,"-0,0176995771",0,NO,NA,NA,NA,3.4848,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,-0.01771373669217126,0.0011948681976755977
806,121,805,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata,Phalaris tuberosa",4,1,3,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"4,56",NA,NA,88.28,9.871864809772038,"4,69",NA,NA,90.8,11.547005382724103,4.7432,"4,1624",YES,"0,02810995893",0,NO,NA,NA,NA,4.1624,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,2,C+2+,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.028145704218711824,0.0011948681976755977
807,121,806,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata",3,1,2,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"1,36",NA,NA,26.33,2.94433847350813,"1,50",NA,NA,29.04,3.693007007866828,2.8072,"3,0976",YES,"0,09798040836",0,NO,NA,NA,NA,3.0976,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.0979652164483773,0.0011948681976755977
808,121,807,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata,Phalaris tuberosa",4,1,3,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"1,36",NA,NA,26.33,2.94433847350813,"1,34",NA,NA,25.94,3.2987810531703,2.8072,"2,904",YES,"-0,01481508579",0,NO,NA,NA,NA,2.904,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,2,C+2+,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,-0.014922794619920061,0.0011948681976755972
809,121,808,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata",3,1,2,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"1,55",NA,NA,30.01,3.355852548043259,"1,50",NA,NA,29.04,3.693007007866828,4.4528,"3,0976",YES,"-0,03278982282",0,NO,NA,NA,NA,3.0976,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,-0.032856469495680544,0.0011948681976755977
810,121,809,2020,"Caulfield, Mark; Groot, Jeroen C. J.; Fonte, Steven J.; Sherwood, Stephen; Oyarzun, Pedro; Borja, Ross Mary; Dumble, Sam; Tittonell, Pablo",English,Article,10.1002/ldr.3558,http://dx.doi.org/10.1002/ldr.3558,"Here the SOC is measurd between July 2015 and July 2017, so it is a mean net change in soil. Biomass data is available for the crop only",LMP,Cropland,Full sun,NA,"Hordeum vulgare,Secale cereale",2,0,2,0,Cropland,Hedgerow,Others,NA,"Hordeum vulgare,Secale cereale,Alnus acuminata,Phalaris tuberosa",4,1,3,1,NA,NA,NA,NA,Ecuador,1°51'24.0'S,78°39'16'W,-1.85666666666667,-78.6544444444445,3225,450,14,NA,Cambisols,0,20,20,121,200,121,200,BACI,2,NA,cropland,cropland,24,24,Table S4,sd to be determined,%,Done,"1,55",NA,NA,30.01,3.355852548043259,"1,34",NA,NA,25.94,3.2987810531703,4.4528,"2,904",YES,"-0,145585317",0,NO,NA,NA,NA,2.904,90,107,1107,Warm Temperate Dry,10,20,TRUE,"(5,10]",-78.6544444444445,-1.85666666666667,FALSE,Others,Alley/Hedgerow,2,C+2+,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,-0.14574448056397787,0.0011948681976755974
811,124,810,1993,"MAZZARINO, MJ; SZOTT, L; JIMENEZ, M",English,Article,10.1016/0038-0717(93)90028-A,http://dx.doi.org/10.1016/0038-0717(93)90028-A,"Here we compare the two type of SAF (poeppigiana, and sepium) with two control: the first control is with N fertilizer, the second without",LMP,Cropland,Full sun,ferti,"Phaseolus vulgaris,zea mays,Manihot esculenta",3,0,3,1,Cropland,Alley cropping,"Beans, Maize",NA,"Phaseolus vulgaris,zea mays,Manihot esculenta,Erythrina poeppigiana",4,1,3,2,555,NO,NA,NA,Costa Rica,9°53'N,83°34'W,9.88333333333333,-83.5666666666667,602,2640,22,NA,Cambisols,0,10,10,100,47,100,47,RCBD,9,NA,cropland,cropland,3,3,Table 3,Extractool,g C kg-1,Done,"41,50",1.13 sdmax,"1,13",39.55,1.08,"45,00",1.13 sdmax,"1,13",42.89,1.08,NA,NA,YES,"0,08096906253","0,0004573272498",YES,"0,3706111111",NA,NA,NA,224,95,1533,Tropical Wet,5,10,TRUE,"(0,5]",-83.5666666666667,9.88333333333333,FALSE,Beans/Maize,Alley/Hedgerow,1,A:<0/+1,Randomized Designs,Cropland,"[0,15)",FALSE,FALSE,0.0810730043151264,4.5991696463282603e-4
812,124,811,1993,"MAZZARINO, MJ; SZOTT, L; JIMENEZ, M",English,Article,10.1016/0038-0717(93)90028-A,http://dx.doi.org/10.1016/0038-0717(93)90028-A,"Here we compare the two type of SAF (poeppigiana, and sepium) with two control: the first control is with N fertilizer, the second without",LMP,Cropland,Full sun,ferti,"Phaseolus vulgaris,zea mays,Manihot esculenta",3,0,3,1,Cropland,Alley cropping,"Beans, Maize",NA,"Phaseolus vulgaris,zea mays,Manihot esculenta,Gliricidia sepium",4,1,3,2,555,NO,NA,NA,Costa Rica,9°53'N,83°34'W,9.88333333333333,-83.5666666666667,602,2640,22,NA,Cambisols,0,10,10,100,47,100,47,RCBD,9,NA,cropland,cropland,3,3,Table 3,Extractool,g C kg-1,Done,"41,50",1.13 sdmax,"1,13",39.55,1.08,"44,70",1.13 sdmax,"1,13",42.6,1.08,NA,NA,YES,"0,07428007438","0,0004601580503",YES,"0,3388444444",NA,NA,NA,224,95,1533,Tropical Wet,5,10,TRUE,"(0,5]",-83.5666666666667,9.88333333333333,FALSE,Beans/Maize,Alley/Hedgerow,1,A:<0/+1,Randomized Designs,Cropland,"[0,15)",FALSE,FALSE,0.07428855906166187,4.6280437346477e-4
813,124,812,1993,"MAZZARINO, MJ; SZOTT, L; JIMENEZ, M",English,Article,10.1016/0038-0717(93)90028-A,http://dx.doi.org/10.1016/0038-0717(93)90028-A,"Here we compare the two type of SAF (poeppigiana, and sepium) with two control: the first control is with N fertilizer, the second without",LMP,Cropland,Full sun,no ferti,"Phaseolus vulgaris,zea mays,Manihot esculenta",3,0,3,1,Cropland,Alley cropping,"Beans, Maize",NA,"Phaseolus vulgaris,zea mays,Manihot esculenta,Erythrina poeppigiana",4,1,3,2,3333,NO,NA,NA,Costa Rica,9°53'N,83°34'W,9.88333333333333,-83.5666666666667,602,2640,22,NA,Cambisols,0,10,10,100,47,100,47,RCBD,9,NA,cropland,cropland,3,3,Table 3,Extractool,g C kg-1,Done,"40,30",1.13 sdmax,"1,13",38.41,1.08,"45,00",1.13 sdmax,"1,13",42.89,1.08,NA,NA,YES,"0,1103110208","0,0004722642675",YES,"0,4976777778",NA,NA,NA,224,95,1533,Tropical Wet,5,10,TRUE,"(0,5]",-83.5666666666667,9.88333333333333,FALSE,Beans/Maize,Alley/Hedgerow,1,A:<0/+1,Randomized Designs,Cropland,"[0,15)",FALSE,FALSE,0.11032085617097576,4.748903964052057e-4
814,124,813,1993,"MAZZARINO, MJ; SZOTT, L; JIMENEZ, M",English,Article,10.1016/0038-0717(93)90028-A,http://dx.doi.org/10.1016/0038-0717(93)90028-A,"Here we compare the two type of SAF (poeppigiana, and sepium) with two control: the first control is with N fertilizer, the second without",LMP,Cropland,Full sun,no ferti,"Phaseolus vulgaris,zea mays,Manihot esculenta",3,0,3,1,Cropland,Alley cropping,"Beans, Maize",NA,"Phaseolus vulgaris,zea mays,Manihot esculenta,Gliricidia sepium",4,1,3,2,3333,NO,NA,NA,Costa Rica,9°53'N,83°34'W,9.88333333333333,-83.5666666666667,602,2640,22,NA,Cambisols,0,10,10,100,47,100,47,RCBD,9,NA,cropland,cropland,3,3,Table 3,Extractool,g C kg-1,Done,"40,30",1.13 sdmax,"1,13",38.41,1.08,"44,70",1.13 sdmax,"1,13",42.6,1.08,NA,NA,YES,"0,1036220327","0,000475095068",YES,"0,4659111111",NA,NA,NA,224,95,1533,Tropical Wet,5,10,TRUE,"(0,5]",-83.5666666666667,9.88333333333333,FALSE,Beans/Maize,Alley/Hedgerow,1,A:<0/+1,Randomized Designs,Cropland,"[0,15)",FALSE,FALSE,0.10353641091751149,4.777778052371496e-4
