repeat_id,R2_grouped,RMSE_grouped,R2_profile,RMSE_profile,R2_random,RMSE_random
1,-0.10835492931871182,1.2203933612699212,0.16000845538053576,1.0624239813690286,0.3385653333791694,0.9427659409181822
2,0.07300179865126244,1.1160916363545441,0.1521696039450996,1.0673697716937793,0.27975445717973735,0.9837861351933698
3,0.029483303831527974,1.1419889811423833,0.1560482674652406,1.06492546563352,0.28162205095116466,0.9825098305638504
4,-0.061141798734865915,1.194117653491294,0.1859119252322795,1.04591430869813,0.30830798266827697,0.9640882497534443
5,-0.15470418876290548,1.2456492720621772,0.03640533176923022,1.1379091826337198,0.29461028723677973,0.9735874540399874
6,0.18283370747985006,1.0478898408315775,0.14042813214431793,1.0747352777396855,0.2506901295531643,1.0034393655592035
7,0.060889604786103946,1.1233594210624003,0.18572065894899303,1.0460371678824991,0.25444671777849015,1.000920884857405
8,0.08313426798987644,1.109975207718234,0.07207647318088517,1.1166485362623992,0.3040720906697276,0.9670357614050558
9,0.09172282024448253,1.1047642429545743,0.1668674075931348,1.058077478033418,0.2985700763478438,0.9708509336625182
10,0.13429129781248828,1.0785649413721887,-0.015777619165407097,1.1683143951145358,0.32621818413235604,0.9515246662586561
