removed_study,LRT,p,coef,metric,test
9,11.203237970285727,8.165472464380429e-4,-0.003245453514488329,RR,SOC x temperature
10,10.668414940717298,0.00108980464672971,-0.0031249948445771056,RR,SOC x temperature
14,11.243911920546225,7.98846096669965e-4,-0.0032462311938917586,RR,SOC x temperature
16,11.509036031829623,6.925868532467629e-4,-0.0032741189401726822,RR,SOC x temperature
17,11.511531690513948,6.91657617541838e-4,-0.0033077340642296976,RR,SOC x temperature
19,10.38922903381956,0.0012675253749999354,-0.003236088962056924,RR,SOC x temperature
20,11.236187619267412,8.021775956299221e-4,-0.0032787266560026927,RR,SOC x temperature
29,11.698452818871942,6.255208762328064e-4,-0.003310036831813404,RR,SOC x temperature
31,11.526944589496793,6.859466061674998e-4,-0.003293579170423308,RR,SOC x temperature
33,11.453822307143582,7.134709153923374e-4,-0.0033006930153817345,RR,SOC x temperature
51,8.525972299303021,0.003501136544706082,-0.0027241100931079364,RR,SOC x temperature
52,11.98343796961501,5.367546531346674e-4,-0.0033610935894350207,RR,SOC x temperature
54,11.353446826111394,7.530807382366634e-4,-0.003335226108889417,RR,SOC x temperature
58,11.661000445433729,6.382400889434446e-4,-0.0032877928571200267,RR,SOC x temperature
65,11.817069869086026,5.869014971590337e-4,-0.003324545519379203,RR,SOC x temperature
74,10.907424098357069,9.577961877621708e-4,-0.0031780280101807927,RR,SOC x temperature
78,11.527318841138595,6.858085269539152e-4,-0.003305747455846146,RR,SOC x temperature
81,11.145335099126783,8.42432535493374e-4,-0.00324143836383087,RR,SOC x temperature
90,9.855112832572786,0.0016936041117895163,-0.003224952614040452,RR,SOC x temperature
91,9.917781519266782,0.0016368956700679278,-0.0030551554696243554,RR,SOC x temperature
99,11.787955090984951,5.961518407004863e-4,-0.003342381751616672,RR,SOC x temperature
102,11.561647733537143,6.73261631237326e-4,-0.003300573228498972,RR,SOC x temperature
108,11.303150482456317,7.73756859480776e-4,-0.003271551731929684,RR,SOC x temperature
113,11.454660016650791,7.131493543060688e-4,-0.003272326683037386,RR,SOC x temperature
114,13.782359290863155,2.052545029298892e-4,-0.0032450513105332828,RR,SOC x temperature
115,13.078986612428025,2.9862697023393526e-4,-0.0034489227238929023,RR,SOC x temperature
116,11.380999205445278,7.419919270754854e-4,-0.0032651895335212033,RR,SOC x temperature
121,8.533847230159722,0.003486020485524637,-0.0039022697333956596,RR,SOC x temperature
124,11.3676941006255,7.473259896121837e-4,-0.003300380130417546,RR,SOC x temperature
129,11.528070970716271,6.855311155205285e-4,-0.0032895681194039833,RR,SOC x temperature
137,11.551453759702213,6.769630388811934e-4,-0.003294779446212047,RR,SOC x temperature
139,11.409401822937184,7.307335583658303e-4,-0.0032965949463453167,RR,SOC x temperature
148,11.68939676851744,6.285727438007626e-4,-0.0032781036978490733,RR,SOC x temperature
150,11.32431047988166,7.649892775233651e-4,-0.0032450750727306254,RR,SOC x temperature
151,11.57224799968094,6.694343776548565e-4,-0.0033032049428564454,RR,SOC x temperature
153,6.599443679799265,0.01020106361942327,-0.002528545241876948,RR,SOC x temperature
154,11.414684139757696,7.286588392123622e-4,-0.003270825568984596,RR,SOC x temperature
155,11.178607764021422,8.274583942655283e-4,-0.0032287454331456607,RR,SOC x temperature
158,11.623961682528716,6.510757587743867e-4,-0.003304280233785601,RR,SOC x temperature
159,10.699962712306615,0.0010713769390534114,-0.0032405035776999123,RR,SOC x temperature
160,11.050358349249223,8.867005830011285e-4,-0.0032906480051071935,RR,SOC x temperature
161,11.598416632052476,6.600799418676196e-4,-0.0032958284591813065,RR,SOC x temperature
162,11.231873110200013,8.04044555822067e-4,-0.003321977220911106,RR,SOC x temperature
163,11.400089551086467,7.34405656841647e-4,-0.003276261715330955,RR,SOC x temperature
164,10.32362672265333,0.001313379482706607,-0.003167903135996776,RR,SOC x temperature
165,10.861378748759762,9.819056444435978e-4,-0.003192153229322042,RR,SOC x temperature
166,11.506064857769275,6.936947873627419e-4,-0.003306672045627533,RR,SOC x temperature
170,11.486182145749353,7.011551616706649e-4,-0.0032997355124010706,RR,SOC x temperature
171,11.489985922822257,6.997216684386598e-4,-0.0032886144857018416,RR,SOC x temperature
47,16.227581485314317,5.6170339703784016e-5,-0.004036469445447849,RR,SOC x temperature
5,11.383806453268335,7.408714150630107e-4,-4.464943859251806e-6,RR,depth x precipitation
7,10.558717120242136,0.0011564142683652043,-4.5182580230482575e-6,RR,depth x precipitation
9,11.44339745781258,7.174848474251395e-4,-4.5486236564734205e-6,RR,depth x precipitation
10,9.054200464959422,0.0026209199031745406,-4.015310147938809e-6,RR,depth x precipitation
14,10.880566833219405,9.717850097502584e-4,-4.373944903957435e-6,RR,depth x precipitation
16,11.197739901477007,8.18970208647693e-4,-4.474751422386149e-6,RR,depth x precipitation
17,10.842630447979218,9.918972679250218e-4,-4.37722849426985e-6,RR,depth x precipitation
19,10.351345663125471,0.0012938033517706077,-4.543343274969181e-6,RR,depth x precipitation
20,10.659718920987189,0.0010949403137185888,-4.358791090649694e-6,RR,depth x precipitation
29,10.859829099651847,9.827276339711448e-4,-4.393936539339925e-6,RR,depth x precipitation
31,10.853236141080629,9.862325609535346e-4,-4.373757921714822e-6,RR,depth x precipitation
33,10.788689472561146,0.0010212215618519336,-4.388251474913699e-6,RR,depth x precipitation
51,11.492638196959206,6.98723883380051e-4,-4.376006664720115e-6,RR,depth x precipitation
52,10.796556903639726,0.0010168905288120047,-4.3708838008470715e-6,RR,depth x precipitation
54,11.052987577733575,8.854440204056676e-4,-4.386615801118874e-6,RR,depth x precipitation
58,11.617326116195159,6.534026840735644e-4,-4.610740437500476e-6,RR,depth x precipitation
65,11.046876132965167,8.883675813112136e-4,-4.4080488735433646e-6,RR,depth x precipitation
74,11.160631991684681,8.355145536148151e-4,-4.441820337930071e-6,RR,depth x precipitation
78,11.444729089498196,7.169708543054453e-4,-4.538829854912942e-6,RR,depth x precipitation
81,10.82099107897136,0.0010035575449489956,-4.370089985179194e-6,RR,depth x precipitation
90,10.887471649111262,9.681689713762001e-4,-4.376607479493479e-6,RR,depth x precipitation
91,11.87281028767859,5.695939896066004e-4,-4.552715809569057e-6,RR,depth x precipitation
99,12.031194605910628,5.231753504728202e-4,-4.6272410405603455e-6,RR,depth x precipitation
102,10.951041077449645,9.355103733251392e-4,-4.406184746985523e-6,RR,depth x precipitation
108,10.838848689291126,9.939251272050357e-4,-4.375851136979325e-6,RR,depth x precipitation
113,10.933832400271626,9.442397292640229e-4,-4.383912581477284e-6,RR,depth x precipitation
114,13.269063496184572,2.6982196212959025e-4,-4.530151924529187e-6,RR,depth x precipitation
115,4.510691474206965,0.03368362088653768,-3.2918525378750827e-6,RR,depth x precipitation
116,10.67723020395806,0.0010846234252343066,-4.3659252911929545e-6,RR,depth x precipitation
121,10.352183629767069,0.0012932161701229644,-4.333883184419782e-6,RR,depth x precipitation
124,10.608242492512431,0.0011258465078495298,-4.364762009607561e-6,RR,depth x precipitation
129,10.81961497435816,0.0010043037236815394,-4.36722042334432e-6,RR,depth x precipitation
137,10.87225661459047,9.761551691320988e-4,-4.379251684877952e-6,RR,depth x precipitation
139,11.325642652385568,7.644406665756874e-4,-4.544592374753695e-6,RR,depth x precipitation
148,10.156259714032103,0.0014381209410271134,-4.165618381513227e-6,RR,depth x precipitation
150,9.505895904221234,0.002048127349842156,-4.178882246210755e-6,RR,depth x precipitation
151,10.043346424617312,0.001528991896517547,-4.248511192805111e-6,RR,depth x precipitation
153,10.759308004225545,0.0010375617003261083,-4.440350647365482e-6,RR,depth x precipitation
154,10.873946386146827,9.752649490966076e-4,-4.3730769270262686e-6,RR,depth x precipitation
155,10.920386313272274,9.511177372821964e-4,-4.373876118571464e-6,RR,depth x precipitation
158,10.847763766600792,9.891513656474183e-4,-4.375874160187391e-6,RR,depth x precipitation
159,10.332455367282478,0.0013071120462769528,-4.331517015910385e-6,RR,depth x precipitation
160,9.023873095417457,0.002664761571163093,-4.2559786509080285e-6,RR,depth x precipitation
161,10.891626779272883,9.659994982488442e-4,-4.378351612759987e-6,RR,depth x precipitation
162,10.290073852377645,0.00133747736517844,-4.303857941574443e-6,RR,depth x precipitation
163,11.019313467873985,9.016745963730959e-4,-4.40760675987809e-6,RR,depth x precipitation
164,10.225415233784588,0.0013851855356015687,-4.381124973260826e-6,RR,depth x precipitation
165,10.92643307740559,9.480184209447089e-4,-4.382709642183431e-6,RR,depth x precipitation
166,10.66412113785293,0.0010923374143528913,-4.365692908466933e-6,RR,depth x precipitation
170,10.713650694226317,0.0010634798506318369,-4.369119603735166e-6,RR,depth x precipitation
171,10.836968866901884,9.949346872831235e-4,-4.375565923298099e-6,RR,depth x precipitation
47,10.659528004899016,0.0010950533385418535,-4.351481804169103e-6,RR,depth x precipitation
5,2.72399632470524,0.098850243160959,-0.0694713895184224,storage_rate,initial SOC linear
7,3.2344416000936462,0.07210488025265348,-0.0781717185203922,storage_rate,initial SOC linear
9,2.630047579386428,0.10485857114507417,-0.07010623065731025,storage_rate,initial SOC linear
10,2.2756701261254193,0.13141831023226547,-0.06054475759910514,storage_rate,initial SOC linear
14,2.5727828443611997,0.10871633078283822,-0.06740752128979217,storage_rate,initial SOC linear
16,2.6849977989035096,0.10129736568597367,-0.06872371038581608,storage_rate,initial SOC linear
17,3.004026436258073,0.08305786169423444,-0.07508646871946939,storage_rate,initial SOC linear
19,2.9285055364407526,0.08702801883909854,-0.07170128742917004,storage_rate,initial SOC linear
20,2.225617515840213,0.13573837674622244,-0.06278998876767412,storage_rate,initial SOC linear
27,2.7338724768815155,0.09824081620840858,-0.069071040544759807,storage_rate,initial SOC linear
29,2.915554884819244,0.08772923203800555,-0.0732909098138705,storage_rate,initial SOC linear
31,2.663277007008105,0.10268897372313451,-0.06833381108303388,storage_rate,initial SOC linear
33,2.74238978100243,0.09771853045659325,-0.06985476604662881,storage_rate,initial SOC linear
52,2.7349431475740857,0.09817499509314388,-0.06955003544526775,storage_rate,initial SOC linear
54,0.7386178394360741,0.3901039934471414,-0.04263018416427209,storage_rate,initial SOC linear
58,2.7367501598954505,0.09806401533269353,-0.0701120601955312,storage_rate,initial SOC linear
65,2.7149976172109973,0.0994091191244604,-0.06891474117776572,storage_rate,initial SOC linear
78,2.8295466431271734,0.09254448092236699,-0.07112894571529213,storage_rate,initial SOC linear
91,2.7456658146684276,0.09751844929202536,-0.06777317552533625,storage_rate,initial SOC linear
99,3.3192196300200294,0.06847432452600513,-0.08036224507419733,storage_rate,initial SOC linear
102,2.7323839135847265,0.09833240791385822,-0.06966977569188586,storage_rate,initial SOC linear
113,2.6893223337192467,0.10102277014315772,-0.06886517604660576,storage_rate,initial SOC linear
114,1.2828313186769265,0.2573732625219776,-0.0456633018243378,storage_rate,initial SOC linear
115,2.9492285842068213,0.08591856103531323,-0.07197883075539023,storage_rate,initial SOC linear
121,2.745075514929681,0.09755446836246012,-0.06939943546488128,storage_rate,initial SOC linear
124,2.59954106745181,0.10689466483425515,-0.06834863542255593,storage_rate,initial SOC linear
129,2.806734770238336,0.09386925892209558,-0.07224934374731216,storage_rate,initial SOC linear
139,3.3541100061412408,0.06703743903739519,-0.07870294662611511,storage_rate,initial SOC linear
148,2.763225418102138,0.09645359456852597,-0.0709677472137491,storage_rate,initial SOC linear
150,2.507560126351791,0.11330122749487677,-0.0664073620410823,storage_rate,initial SOC linear
