removed_study,LRT,p,coef,metric,test
153,1.8415692497503642,0.1747671329138889,0.048357221065632255,storage_rate,temperature linear
160,2.4052299532872894,0.12093035307452615,0.05537907074309308,storage_rate,temperature linear
161,2.2458415234958693,0.133974006295679,0.052803211079029536,storage_rate,temperature linear
162,1.761299169043241,0.1844625514013758,0.046990394953922494,storage_rate,temperature linear
163,2.2427249185536766,0.13424422362010854,0.052899631275410176,storage_rate,temperature linear
164,1.1687384307683715,0.2796606107005648,0.03737269796173171,storage_rate,temperature linear
165,2.3408484557555767,0.12602089845527376,0.05451165322464073,storage_rate,temperature linear
166,2.7608230174005257,0.09659853044050123,0.05852568682729493,storage_rate,temperature linear
170,2.218199161764119,0.13639206986537736,0.053491703115742424,storage_rate,temperature linear
171,2.2012930928581227,0.13789501972696047,0.0527882170040583,storage_rate,temperature linear
5,0.045791362113845935,0.8305555076994526,0.0018941805345343069,storage_rate,SOC x temperature
7,0.03249996819511125,0.8569347378528839,0.001607824144682427,storage_rate,SOC x temperature
9,0.04279733651844708,0.8361073474560179,0.0018426408650637257,storage_rate,SOC x temperature
10,0.36067151096824546,0.5481335318530095,0.005125562368197978,storage_rate,SOC x temperature
14,0.06252042880362296,0.8025557547089099,0.0022040207973695962,storage_rate,SOC x temperature
16,0.05391926775848788,0.8163786176229295,0.002048867102030332,storage_rate,SOC x temperature
17,0.1136017460507901,0.7360802780200111,0.0031756289908343657,storage_rate,SOC x temperature
19,0.06232271171086268,0.8028617624459943,0.0022292350484720324,storage_rate,SOC x temperature
20,0.0016702947486919584,0.9674001401617192,3.6033969724652115e-4,storage_rate,SOC x temperature
27,0.04620203883405338,0.8298089560309263,0.0018880847878061156,storage_rate,SOC x temperature
29,0.019930467285576015,0.8877314529021659,0.0012589182032873264,storage_rate,SOC x temperature
31,0.04924514727088081,0.8243820177530763,0.0019528623798452957,storage_rate,SOC x temperature
33,0.049703500823056856,0.8235800097096698,0.001962450321291182,storage_rate,SOC x temperature
52,0.02167226733536154,0.8829622915220766,0.0013114957871618227,storage_rate,SOC x temperature
54,0.1900702269372232,0.6628581746820089,-0.006857284501288291,storage_rate,SOC x temperature
58,0.04630645890097185,0.829619689289303,0.001911079360456543,storage_rate,SOC x temperature
65,0.0446615698513142,0.8326275578567275,0.0018606418940352106,storage_rate,SOC x temperature
78,0.031231475163167488,0.8597249594273944,0.0015698835570240966,storage_rate,SOC x temperature
91,0.18155684516136716,0.6700387122222873,0.003693354035882844,storage_rate,SOC x temperature
99,0.004847520006364903,0.9444928275610022,-6.538769168541217e-4,storage_rate,SOC x temperature
102,0.057967630669054415,0.8097375064599198,0.0021210734497514407,storage_rate,SOC x temperature
113,0.049967633209689666,0.8231196039396607,0.0019718062027040168,storage_rate,SOC x temperature
114,0.6324150991162014,0.42647082117654156,0.006644695856643013,storage_rate,SOC x temperature
115,0.027735832490975554,0.8677313908756044,0.001468143722145498,storage_rate,SOC x temperature
121,0.06846816967095037,0.7935803196137503,0.0023193372455645087,storage_rate,SOC x temperature
124,0.029506186633739162,0.8636154822987092,0.0015357753886281848,storage_rate,SOC x temperature
129,0.03168545637038278,0.858719762992247,0.0015994764979399105,storage_rate,SOC x temperature
139,0.0263007586064532,0.871167978345508,0.001433502852210335,storage_rate,SOC x temperature
148,0.03588935453626618,0.8497441687031564,0.0016682211595805685,storage_rate,SOC x temperature
150,0.07535019073645799,0.7837004865628621,0.0024200105898537073,storage_rate,SOC x temperature
151,0.04873851473598734,0.8252730724528876,0.0019451002010814887,storage_rate,SOC x temperature
153,0.07406233701044584,0.7855113265602526,0.002444366467652731,storage_rate,SOC x temperature
160,0.2251419164994104,0.6351496585611769,0.004265247561491471,storage_rate,SOC x temperature
161,0.047600259528508104,0.8272928899484724,0.0019236717067306472,storage_rate,SOC x temperature
162,0.129067262662943,0.7194010997748781,0.0032204252121137912,storage_rate,SOC x temperature
