repeat_id,R2_grouped,RMSE_grouped,R2_profile,RMSE_profile,R2_random,RMSE_random
1,0.10797118715059517,0.21185274196717513,0.18339235885745497,0.20269888876513031,0.47206658879344376,0.1629799657154346
2,0.056110330944291964,0.2179241017115544,0.26797384800164914,0.1919145696508095,0.5046493861639287,0.15787050597231836
3,0.017614619871768933,0.22232361396006317,0.2533053028648724,0.19382785143106485,0.43321351403196484,0.16887073416489362
4,0.005986958454561653,0.2236354714442761,0.15886043422793372,0.2057210247974024,0.48689768837590175,0.16067438036478218
5,0.097867887810273,0.21304910750739933,0.19262095779672772,0.20155026990205807,0.4815753678452337,0.1615055541421515
6,-0.021410195850963376,0.22669646212665828,-0.0814743106558855,0.23326670347500397,0.47972273594541615,0.16179387329849973
7,0.051102899101659105,0.2185013919727942,0.06040778645889944,0.21742744009341694,0.47476113172302803,0.1625635132830035
8,-0.0395094837300527,0.2286961618750741,0.09816273614035287,0.21301428871186154,0.5038772966211176,0.1579934923012269
9,-0.05305350128772268,0.23018120875338652,0.1933388373257977,0.20146064595715235,0.5215120251453713,0.15516013971872264
10,0.05700825541341181,0.21782042119175016,-0.0670920517553748,0.23171043400030922,0.5024420805464326,0.15822185419871262
